"parents","n","labels","id"
"Croatia",4,"War","Croatia  -  War"
"Cyprus",192,"Action","Cyprus  -  Action"
"Cyprus",2,"Adult","Cyprus  -  Adult"
"Cyprus",133,"Adventure","Cyprus  -  Adventure"
"Cyprus",55,"Animation","Cyprus  -  Animation"
"Cyprus",13,"Biography","Cyprus  -  Biography"
"Cyprus",189,"Comedy","Cyprus  -  Comedy"
"Cyprus",128,"Crime","Cyprus  -  Crime"
"Cyprus",30,"Documentary","Cyprus  -  Documentary"
"Cyprus",337,"Drama","Cyprus  -  Drama"
"Cyprus",26,"Family","Cyprus  -  Family"
"Cyprus",29,"Fantasy","Cyprus  -  Fantasy"
"Cyprus",11,"Game Show","Cyprus  -  Game Show"
"Cyprus",1,"History","Cyprus  -  History"
"Cyprus",18,"Horror","Cyprus  -  Horror"
"Cyprus",7,"Music","Cyprus  -  Music"
"Cyprus",49,"Mystery","Cyprus  -  Mystery"
"Cyprus",15,"Reality TV","Cyprus  -  Reality TV"
"Cyprus",93,"Romance","Cyprus  -  Romance"
"Cyprus",44,"Sci Fi","Cyprus  -  Sci Fi"
"Cyprus",7,"Short","Cyprus  -  Short"
"Cyprus",9,"Sport","Cyprus  -  Sport"
"Cyprus",49,"Thriller","Cyprus  -  Thriller"
"Cyprus",5,"War","Cyprus  -  War"
"Cyprus",2,"Western","Cyprus  -  Western"
"Czech Republic",191,"Action","Czech Republic  -  Action"
"Czech Republic",2,"Adult","Czech Republic  -  Adult"
"Czech Republic",146,"Adventure","Czech Republic  -  Adventure"
"Czech Republic",86,"Animation","Czech Republic  -  Animation"
"Czech Republic",18,"Biography","Czech Republic  -  Biography"
"Czech Republic",187,"Comedy","Czech Republic  -  Comedy"
"Czech Republic",130,"Crime","Czech Republic  -  Crime"
"Czech Republic",41,"Documentary","Czech Republic  -  Documentary"
"Czech Republic",305,"Drama","Czech Republic  -  Drama"
"Czech Republic",23,"Family","Czech Republic  -  Family"
"Czech Republic",48,"Fantasy","Czech Republic  -  Fantasy"
"Czech Republic",19,"Game Show","Czech Republic  -  Game Show"
"Czech Republic",3,"History","Czech Republic  -  History"
"Czech Republic",26,"Horror","Czech Republic  -  Horror"
"Czech Republic",4,"Music","Czech Republic  -  Music"
"Czech Republic",50,"Mystery","Czech Republic  -  Mystery"
"Czech Republic",23,"Reality TV","Czech Republic  -  Reality TV"
"Czech Republic",81,"Romance","Czech Republic  -  Romance"
"Czech Republic",13,"Sci Fi","Czech Republic  -  Sci Fi"
"Czech Republic",3,"Short","Czech Republic  -  Short"
"Czech Republic",12,"Sport","Czech Republic  -  Sport"
"Czech Republic",45,"Thriller","Czech Republic  -  Thriller"
"Czech Republic",3,"War","Czech Republic  -  War"
"Denmark",184,"Action","Denmark  -  Action"
"Denmark",2,"Adult","Denmark  -  Adult"
"Denmark",118,"Adventure","Denmark  -  Adventure"
"Denmark",57,"Animation","Denmark  -  Animation"
"Denmark",17,"Biography","Denmark  -  Biography"
"Denmark",178,"Comedy","Denmark  -  Comedy"
"Denmark",148,"Crime","Denmark  -  Crime"
"Denmark",32,"Documentary","Denmark  -  Documentary"
"Denmark",328,"Drama","Denmark  -  Drama"
"Denmark",18,"Family","Denmark  -  Family"
"Denmark",42,"Fantasy","Denmark  -  Fantasy"
"Denmark",15,"Game Show","Denmark  -  Game Show"
